h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,h,f,c,b,k,h,h,j,d,d,c,b
1993,2159,2505,2689,2893,3089,3283,3455,3595,3699,3781,3919,4073,4197,4307,4415,4511,4619,4735,4851,4931,5079,5287,5457,5571,5673,5793,5907,5985,6137,6293,6423,6537,6617,6763,6951,7101,7223,7323,7441,7559,7637,7769,7933,8061,8173,8285,8381,8491,8569,8699,8859,8985,9097,9213,9309,9415,9495,9665,9815,9937,10051,10131,10285,10515,10629,10711,10833,10981,11111,11221,11305,11439,11643,11835,11961,12063,12183,12301,12381,13097,13267,13425,13559,13665,13749,13879,14031,14153,14279,14385,14501,14595,14701,14821,14941,15023,15185,15343,15469,15585,15669,16185,16375,16507,16639,16749,16833,16957,17163,17361,17479,17581,17701,17819,17901
2025,2213,2545,2725,2935,3153,3351,3501,3669,3765,3833,3991,4147,4273,4375,4471,4561,4713,4821,4921,4989,5151,5329,5503,5629,5771,5879,5971,6043,6215,6371,6499,6605,6675,6835,6995,7145,7279,7421,7533,7623,7695,7845,8009,8139,8245,8347,8441,8557,8629,8775,8933,9061,9163,9271,9363,9483,9557,9739,9891,10013,10121,10191,10359,10567,10697,10759,10909,11061,11189,11291,11361,11517,11693,11887,12025,12163,12271,12365,12437,13143,13323,13483,13635,13735,13811,13955,14107,14231,14355,14451,14557,14653,14799,14909,15009,15083,15261,15419,15547,15653,15727,16233,16427,16561,16717,16823,16891,17039,17213,17411,17539,17683,17783,17887,17955
