e,h,e,h,h,h,f,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1579,1817,1967,2171,2363,2541,2703,2807,2887,3255,3419,3555,3659,3739,3889,4055,4171,4283,4395,4491,4597,4719,4829,4911,5065,5231,5359,5475,5555,5683,5891,6047,6179,6281,6401,6527,6603,6755,6913,7039,7147,7233,7369,7549,7727,7869,7991,8103,8217,8313,8421,8503,8631,8783,8939,9047,9163,9259,9367,9447,9575,9739,9857,9973,10095,10189,10297,10417,10537,10617,11201,11375,11501,11607,11731,11843,11923
1649,1849,2033,2217,2415,2595,2775,2875,2945,3303,3473,3629,3725,3797,3971,4127,4247,4357,4455,4555,4697,4803,4901,4965,5141,5305,5439,5545,5611,5763,5941,6101,6241,6385,6499,6595,6665,6833,6991,7115,7223,7293,7451,7603,7783,7949,8073,8183,8279,8377,8491,8561,8711,8861,9015,9123,9229,9321,9437,9507,9659,9817,9937,10041,10155,10255,10397,10509,10605,10677,11253,11427,11565,11709,11817,11915,11975
