e,e,e,e,h,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f
1675,1851,1989,2247,2487,2663,2847,2987,3105,3209,3321,3415,3519,3639,3749,3827,3969,4125,4243,4353,4433,4569,4751,4923,5095,5201,5281,5407,5557
1735,1883,2063,2347,2533,2713,2897,3061,3179,3277,3381,3471,3609,3719,3817,3887,4045,4201,4321,4421,4495,4649,4805,4975,5149,5273,5343,5483,5633
