h,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,b,k,f,f,c,b,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b
1983,2507,2749,2947,3137,3325,3479,3589,3668.9,3845,4003,4127,4233,4343,4435,4539,4657,4769,4847,5297,5435,5557,5639,5781,5931,6055,6163,6241,6623,6765,6885,6987,7103,7215,7293,8207,8369,8563,8743,8887,9003,9083,9207,9359,9481,9591,9707,9799,9901,10025,10137,10217,10383,10551,10681,10791,10877,11019,11197,11307,11403,11507,11627,11743,11823
2029,2555,2823,2997,3191,3383,3553,3663,3731,3925,4079,4203,4313,4405,4501,4637,4745,4843,4909,5353,5511,5637,5701,5863,6007,6131,6233,6303,6681,6825,6951,7083,7189,7287,7359,8257,8429,8625,8799,8967,9075,9145,9287,9433,9557,9667,9767,9863,10001,10109,10213,10279,10459,10627,10755,10863,10927,11095,11267,11365,11455,11609,11713,11807,11879
