h,h,h,e,e,k,f,h,h,h,j,d,d,c,b,h,e,e,h,f,c,b,h,h,e,k,f,f,c,b,k,h,h,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,h,h,h
1145,1341,1537,1719,1955,2149,2305,2515,2675,2851,2975,3075,3197,3311,3391,3759,3935,4103,4247,4387,4491,4571,4909,5067,5259,5421,5571,5699,5815,5893,6083,6261,6435,6597,6745,6875,6975,7093,7207,7287,7413,7569,7691,7807,7887,8015,8193,8375,8497,8601,8717,8833,8913,9041,9193,9317,9427,9543,9637,9741,9821,9955,10105,10245,10353,10467,10563,10671,10753,10879,11037,11151,11267,11359,11467,11585,11695,11775,11995,12205,12373,12495,12595,12717,12833,12913,13319,13469,13605,13707,13825,13943,14023,14189,14335,14459,14571,14691,14787,14893,14975,15111,15327,15495,15607,15707,15835,15951,16035,16819,16995,17181,17343,17481
1183,1373,1571,1767,2053,2221,2377,2563,2723,2899,3025,3171,3283,3371,3443,3803,3981,4159,4297,4457,4557,4621,4951,5111,5349,5491,5639,5769,5879,5943,6155,6305,6485,6649,6793,6927,7067,7179,7271,7339,7489,7643,7763,7873,7937,8089,8241,8431,8553,8699,8805,8895,8961,9115,9267,9391,9491,9601,9691,9803,9869,10029,10181,10315,10419,10529,10619,10735,10803,10955,11109,11217,11325,11419,11561,11671,11759,11827,12071,12253,12425,12551,12691,12803,12897,12969,13367,13523,13661,13805,13911,14005,14075,14263,14409,14533,14633,14749,14841,14957,15027,15187,15371,15537,15661,15811,15921,16017,16081,16851,17041,17229,17395,17531
