h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,e,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,e,h,f,c,g,j,d,d,c,b,h,h,f,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b
1993,2147,2333,2485,2623,2723,2805,2953,3111,3237,3355,3479,3571,3675,3789,3903,3979,4275,4439,4571,4675,4793,4889,4997,5111,5227,5307,5535,5683,5809,5913,6027,6123,6229,6351,6467,6547,6707,6863,6989,7101,7183,7317,7507,7663,7787,7895,8195,8365,8511,8633,8745,8829,8993,9181,9363,9487,9591,9705,9801,9909,10027,10141,10221,10355,10517,10651,10763,10881,10979,11095,11211,11325,11405,11569,11731,11861,11975,12057,12197,12357,12485,12597,12717,12813,12919,13045,13165,13249,13553,13773,13923,14059,14169,14289,14387,14495,14627,14745,14827,15411,15729,15851,15959,16045,16187,16349,16475,16605,16713,16795,16949,17153,17335,17455,17557,17675,17793,17875
2031,2205,2385,2523,2691,2789,2857,3025,3179,3309,3415,3533,3621,3769,3875,3963,4027,4321,4489,4643,4745,4851,4945,5089,5197,5287,5357,5603,5755,5879,5977,6081,6179,6325,6437,6533,6601,6783,6937,7065,7173,7239,7387,7553,7707,7863,7961,8305,8441,8585,8705,8811,8883,9067,9229,9413,9559,9659,9765,9863,10007,10111,10205,10277,10431,10591,10729,10835,10943,11035,11187,11297,11387,11455,11647,11805,11937,12049,12121,12277,12433,12561,12669,12773,12865,13019,13133,13227,13301,13627,13823,13971,14133,14245,14349,14447,14599,14715,14811,14885,15453,15775,15927,16027,16101,16267,16423,16551,16683,16781,16847,17023,17197,17381,17507,17655,17761,17863,17933
