e,h,e,h,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,f,c,g,j,c,b,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
965,1559,1715,1981,2169,2357,2539,2691,2833,2933,3019,3147,3303,3449,3557,3639,3789,3971,4153,4297,4415,4517,4639,4753,4835,4973,5125,5247,5357,5469,5567,5673,5753,5881,6033,6161,6295,6403,6523,6619,6725,6807,7291,7459,7629,7757,7907,8007,8091,8221,8385,8511,8621,8707,8839,9023,9193,9313,9415,9537,9653,9735,9863,10033,10161,10267,10383,10477,10581,10707,10823,10905
1027,1591,1767,2023,2215,2403,2603,2739,2901,2999,3069,3223,3375,3517,3625,3695,3861,4019,4201,4355,4473,4613,4723,4819,4887,5049,5197,5321,5427,5525,5623,5735,5803,5957,6105,6237,6367,6471,6585,6673,6793,6861,7335,7513,7685,7807,7981,8075,8145,8297,8455,8587,8691,8761,8917,9069,9249,9371,9517,9625,9717,9787,9941,10107,10235,10335,10439,10531,10683,10793,10891,10951
