h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
1783,1961,2135,2297,2439,2551,2629,2771,2923,3053,3161,3271,3365,3473,3587,3703,3775,4001,4173,4329,4461,4599,4701,4783,4917,5069,5191,5299,5407,5501,5609,5725,5835,5915,6067,6271,6453,6587,6719,6839,6957,7047,7153,7273,7391,7471,7599,7793,7983,8109,8211,8331,8449,8527,8659,8807,8927,9041,9123,9253,9411,9545,9653,9763,9857,9967,10089,10199,10283,10419,10585,10715,10831,10913,11047,11211,11335,11447,11565,11657,11767,11887,12005,12085,12631,12813,12945,13083,13193,13309,13405,13513,13635,13751,13831,14001,14153,14281,14395,14515,14609,14719,14843,14961,15039
1809,2023,2195,2343,2511,2617,2687,2845,2997,3125,3235,3333,3427,3569,3669,3767,3833,4045,4215,4385,4513,4671,4767,4841,4995,5143,5265,5369,5469,5561,5705,5805,5901,5971,6145,6321,6519,6643,6797,6915,7017,7111,7257,7361,7455,7527,7679,7843,8035,8167,8313,8419,8515,8587,8737,8881,9003,9115,9183,9335,9487,9621,9725,9825,9923,10067,10175,10275,10345,10499,10659,10789,10901,10973,11127,11289,11413,11523,11625,11723,11869,11973,12077,12145,12689,12869,13003,13161,13271,13373,13465,13615,13727,13823,13893,14081,14231,14361,14465,14579,14677,14821,14929,15029,15099
