e,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,h,h,h,j,d,d,c,b,k,k,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,e,c,b,k,f,f,c,b,k,f,c,g,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b
1979,2169,2313,2569,3351,3547,3731,3941,4095,4241,4345,4427,4587,4753,4879,4991,5111,5201,5309,5655,5833,6003,6143,6245,6365,6483,6565,6699,6899,7079,7163,7305,7469,7597,7709,7831,7927,8029,8115,8253,8409,8537,8653,8767,8861,8971,9051,9179,9473,9625,9765,9871,9989,10081,10189,10309,10429,10513,10651,10853,11043,11209,11335,11415,11537,11695,11817,11925,12035,12133,12243,12327,12453,12763,12937,13049,13131,13259,13427,13553,13665,13749,13883,14037,14145,14259,14355,14461,14587,14705,14791,15251,15433,15583,15767,15881,15961,16089,16245,16373,16487,16605,16701,16809,16931,17045,17129
2041,2203,2379,2603,3387,3583,3795,4001,4145,4315,4407,4483,4663,4823,4951,5059,5169,5261,5367,5711,5885,6057,6205,6341,6451,6549,6621,6779,6977,7151,7223,7383,7547,7673,7781,7893,7987,8103,8175,8339,8481,8617,8727,8827,8925,9039,9109,9259,9523,9675,9839,9947,10051,10143,10293,10401,10501,10567,10729,10903,11093,11269,11405,11471,11619,11771,11895,11997,12095,12191,12315,12381,12533,12805,12993,13125,13193,13341,13503,13631,13735,13805,13959,14113,14219,14321,14415,14559,14679,14773,14849,15305,15485,15637,15821,15953,16023,16175,16321,16447,16563,16665,16761,16909,17017,17119,17187
