e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,h,h,e
2119,2927,3051,3149,3229,3389,3541,3661,3767,3873,3965,4065,4143,4267,4417,4539,4645,4759,4853,4955,5031,5153,5331,5489,5633,5731,5845,5939,6043,6163,6275,6353,6493,6641,6759,6865,6945,7077,7255,7487,7607,7759,7879,7983,8099,8191,8293,8413,8527,8607,8729,8929,9115,9247,9345,9461,9581,9661,9811,9995,10215,10345,10503,10635,10745,10859,10951,11055,11137,11261,11415,11537,11643,11755,11851,11955,12075,12189,12269,12457,12647,12839,12983,13105,13211,13297,13429,14217,14369,14595
2165,2961,3115,3211,3275,3459,3607,3725,3829,3925,4013,4125,4189,4335,4485,4607,4711,4817,4905,5015,5081,5225,5375,5535,5699,5795,5899,5991,6139,6245,6335,6403,6561,6707,6829,6929,6995,7147,7295,7543,7679,7831,7951,8045,8155,8241,8391,8499,8591,8657,8801,8971,9159,9299,9441,9553,9645,9707,9879,10039,10277,10413,10571,10707,10811,10917,11007,11117,11185,11335,11485,11609,11709,11813,11905,12051,12161,12249,12315,12523,12691,12879,13057,13179,13279,13345,13501,14257,14413,14741
