e,h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,c,b,k,f,f,c,g,j,d,d,c,b
1961,2781,2967,3221,3401,3573,3747,3893,4027,4127,4211,4355,4515,4649,4759,4875,4973,5081,5203,5317,5395,5525,5735,5927,6075,6197,6305,6423,6515,6625,6749,6867,6947,7091,7255,7393,7507,7625,7719,7831,7951,8065,8149,8299,8481,8613,8723,8837,8935,9045,9169,9281,9365,9589,9741,9873,9987,10071,10215,10379,10515,10627,10711,10849,11029,11153,11271,11353,11495,11677,11811,11927,12053,12151,12261,12389,12515,12595,12735,12953,13175,13375,13523,13637,13719,13869,14037,14179,14291,14405,14505,14615,14747,14863,14947
2011,2811,2997,3247,3437,3631,3803,3943,4097,4197,4269,4431,4589,4723,4831,4935,5037,5179,5287,5381,5449,5605,5783,5977,6153,6273,6373,6483,6579,6725,6835,6937,7007,7171,7329,7463,7575,7685,7775,7927,8037,8133,8205,8377,8555,8687,8797,8899,8995,9143,9255,9347,9423,9669,9817,9951,10057,10131,10297,10455,10593,10699,10771,10925,11105,11233,11343,11413,11577,11753,11889,11999,12117,12215,12365,12483,12591,12657,12819,13007,13269,13427,13601,13711,13785,13951,14117,14257,14367,14469,14567,14721,14833,14935,15007
