e,e,e,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b
1425,1695,1943,2295,2471,2619,2823,3011,3175,3319,3419,3507,3645,3799,3921,4033,4147,4243,4351,4473,4591,4666.5,4815,5003,5199,5339,5465,5573,5699,5815,5895,6031,6221,6387,6511,6617,6741,6855,6937,7071,7225,7387,7497,7581,7739,7895,8017,8127,8245,8343,8455,8577,8697,8777,9117,9283,9443,9563,9645,9771,9931,10067,10181,10265,10393,10553,10689,10805,10923,11019,11131,11211,11351,11517,11649,11767,11849
1543,1767,2077,2367,2505,2689,2873,3063,3225,3393,3493,3561,3723,3873,3999,4109,4207,4307,4449,4559,4653.9,4735,4897,5059,5263,5395,5533,5679,5785,5887,5953,6113,6275,6443,6575,6717,6827,6929,7003,7151,7301,7463,7573,7643,7819,7971,8091,8203,8311,8411,8555,8669,8769,8839,9177,9341,9501,9635,9705,9861,10009,10147,10255,10327,10473,10631,10769,10875,10989,11087,11203,11271,11433,11593,11729,11843,11913
