e,h,e,e,h,h,h,e,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,d,c,b,k,f,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,e,k,f,f,c,b,k,h,h,h,h,e,e,h,f,c,b,k,f,f,c,b,e,h
245,469,615,833,1985,2245,2439,2589,2899,3071,3217,3333,3443,3555,3649,3757,3835,3969,4133,4253,4369,4477,4569,4673,4751,4887,5047,5169,5279,5395,5493,5599,5717,5833,5911,6051,6253,6417,6557,6657,6777,6897,7009,7091,7225,7381,8485,8741,8911,9067,9227,9357,9483,9589,9675,9797,9951,10071,10183,10295,10391,10489,10685,10837,10983,11107,11213,11304,11441,11645,11905,12101,12601,12773,12913,13047,13181,13295,13379,13501,13649,13777,13887,13967,14161,14993
311,507,681,971,2015,2273,2471,2647,2951,3121,3289,3405,3509,3615,3703,3825,3887,4047,4205,4327,4437,4535,4633,4739,4807,4959,5121,5245,5347,5455,5549,5695,5803,5899,5963,6125,6301,6465,6611,6757,6867,6981,7075,7143,7301,7455,8535,8773,8943,9117,9275,9403,9557,9657,9725,9869,10023,10141,10249,10353,10445,10593,10773,10907,11055,11181,11279,11361,11513,11693,11941,12141,12649,12827,12973,13101,13261,13369,13439,13581,13725,13853,13957,14027,14193,15033
