e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k
1417,1611,1767,1971,2227,2363,2465,2547,2673,2825,2943,3045,3157,3247,3351,3467,3575,3649,3795,3997,4183,4315,4393,4511,4667,4787,4891,5001,5095,5197,5321,5431,5509,6247,6417,6543,6681,6785,6865,6987,7135,7253,7361,7471,7565,7665,7783,7893,7969,8113,8305,8499,8657,8801,8921,9027,9137,9229,9335,9411,9535,9689,9819,9927,10041,10135,10239,10317,10441,10677,10871,11027,11175,11303,11413,11531,11623,11731,11847,11959,12037,12189,12385,12575,12707,12817,12897,13031,13187,13309,13419,13529,13623,13727,13841,13961,14041,14191
1495,1643,1813,2095,2261,2431,2531,2599,2749,2895,3013,3109,3207,3303,3445,3549,3639,3703,3865,4051,4239,4379,4445,4587,4739,4859,4953,5059,5151,5295,5405,5489,5557,6283,6457,6593,6753,6855,6921,7061,7207,7327,7429,7531,7625,7765,7869,7951,8025,8187,8351,8595,8727,8875,8995,9099,9197,9289,9399,9467,9609,9767,9897,9997,10103,10195,10307,10373,10517,10725,10969,11103,11251,11379,11487,11593,11687,11831,11937,12027,12095,12271,12435,12631,12783,12887,12955,13109,13263,13383,13487,13589,13683,13825,13931,14031,14097,14269
