h,e,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,e,k,h,e,c,b,k,f,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,k,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h
1583,1743,1943,2801,2977,3221,3401,3597,3781,3941,4083,4189,4267,4399,4553,4685,4793,4911,5005,5111,5195,5327,5539,5719,5865,6065,6247,6421,6583,6707,6815,6935,7031,7135,7261,7379,7461,7613,7787,7953,8075,8177,8299,8415,8497,8631,8793,8927,9039,9157,9251,9363,9441,9567,9761,9927,10055,10157,10279,10391,10473,10609,10765,10909,11019,11103,11535,11707,11895,12077,12181,12265,12397,12565,13165,13313,13481,13613,13751,13861,13945,14087,14241,14365,14479,14601,14697,14805,14889,15049,15243,15439,15587,15751,15863,15957,16067,16191,16311,16397,16895,17035,17161,17267,17395,17505,17589,17721,17873,18007,18117,18201,18347,18521
1613,1777,2045,2833,3017,3257,3451,3657,3835,3991,4155,4251,4321,4473,4627,4759,4861,4969,5063,5177,5249,5407,5589,5771,5981,6113,6363,6497,6655,6783,6881,6995,7091,7237,7347,7445,7517,7691,7839,8005,8133,8279,8385,8481,8553,8709,8867,9003,9111,9217,9311,9429,9497,9647,9811,9977,10113,10261,10363,10461,10529,10689,10841,10983,11089,11157,11615,11779,11945,12131,12255,12321,12475,12637,13215,13369,13533,13669,13829,13931,14001,14165,14317,14441,14551,14661,14755,14879,14947,15127,15291,15493,15667,15821,15923,16019,16169,16281,16375,16445,16933,17087,17215,17365,17479,17573,17643,17803,17951,18083,18187,18257,18427,18575
