e,h,e,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1829,1985,2127,2339,2509,2655,2771,2881,2993,3083,3189,3305,3421,3495,3631,3783,3907,4013,4131,4229,4331,4455,4561,4641,4775,4937,5061,5169,5281,5375,5479,5597,5711,5789,5923,6083,6207,6317,6435,6527,6635,6755,6871,6953,7107,7261,7385,7495,7575,7703,7885,8053,8177,8279,8397,8509,8587,8753,8917,9113,9251,9401,9521,9631,9745,9841,9945,10023,10153,10305,10429,10543,10625,10769,10957,11149,11279,11379,11497,11611,11689
1899,2025,2201,2381,2545,2727,2843,2941,3043,3135,3285,3389,3477,3543,3703,3857,3983,4085,4191,4291,4431,4537,4631,4701,4853,5011,5135,5235,5337,5431,5573,5687,5775,5845,5999,6159,6285,6389,6497,6591,6737,6845,6939,7007,7177,7337,7459,7561,7629,7779,7935,8107,8237,8383,8489,8579,8645,8823,8965,9197,9327,9477,9597,9701,9807,9903,10015,10085,10227,10381,10505,10611,10681,10847,11003,11207,11343,11485,11583,11673,11743
