f,h,h,h,e,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1991,2721,3599,4055,4275,4583,4759,4905,5005,5087,5231,5387,5523,5639,5719,5853,6011,6129,6245,6363,6457,6565,6687,6799,6883,7035,7195,7317,7435,7551,7647,7751,7835,7965,8157,8327,8451,8551,8671,8783,8863,9005,9165,9291,9405,9523,9617,9729,9853,9973,10057,10965,11127,11309,11447,11569,11677,11761,11887,12031,12163,12271,12387,12485,12591,12713,12831,12911,13031,13181,13301,13413,13497,13625,13823,14005,14137,14235,14355,14467,14549
2021,2767,3643,4099,4335,4619,4813,4977,5079,5147,5305,5463,5599,5709,5775,5937,6087,6209,6323,6425,6523,6663,6771,6869,6931,7113,7269,7395,7507,7611,7703,7821,7889,8049,8211,8385,8517,8655,8757,8861,8927,9091,9245,9371,9483,9587,9687,9829,9939,10043,10109,10997,11175,11355,11521,11643,11743,11809,11969,12111,12245,12345,12449,12545,12691,12803,12893,12965,13107,13259,13381,13483,13551,13709,13875,14055,14191,14337,14445,14535,14603
