e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,d,c,b,h,e,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,h,f,f,c,b,k,h,h,h,j,d,d,c,b
997,1147,1321,1517,1977,2149,2295,2397,2481,2605,2767,2887,3001,3113,3209,3315,3439,3557,3635,3765,3931,4059,4173,4287,4385,4491,4615,4731,4813,4949,5133,5317,5417,5499,5639,5795,5915,6029,6109,6247,6407,6529,6635,6747,6841,6949,7071,7191,7273,7445,7609,7735,7843,7959,8057,8161,8241,8375,8557,8737,8863,8963,9083,9215,9345,9425,9827,10003,10135,10313,10429,10511,10639,10795,10919,11029,11117,11243,11409,11531,11641,11761,11855,11963,12081,12195,12275,12679,12847,13117,13311,13449,13565,13673,13757,13887,14087,14455,14615,14737,14841,14965,15083,15167
1023,1177,1373,1547,2025,2197,2367,2461,2529,2677,2837,2957,3067,3173,3265,3413,3533,3621,3687,3839,4005,4131,4237,4347,4439,4599,4711,4795,4863,5023,5179,5361,5483,5555,5715,5869,5989,6097,6165,6321,6483,6605,6703,6807,6895,7055,7163,7257,7325,7519,7687,7811,7913,8021,8109,8227,8289,8453,8605,8785,8921,9067,9183,9313,9409,9479,9873,10053,10187,10365,10499,10567,10715,10873,10997,11095,11165,11317,11485,11607,11707,11819,11913,12063,12169,12259,12327,12719,12963,13191,13363,13525,13643,13735,13809,13963,14135,14501,14661,14791,14941,15053,15143,15217
