h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,k,e,h,f,c,b,k,h
1603,1989,2217,2375,2511,2617,2695,2835,2993,3115,3223,3337,3431,3533,3663,3771,3851,3975,4149,4321,4443,4543,4659,4773,4853,4987,5149,5271,5381,5497,5589,5695,5817,5929,6011,6139,6287,6409,6513,6631,6727,6833,6961,7079,7157,7359,7509,7631,7741,7859,7955,8059,8181,8299,8379,8515,8681,8807,8921,9039,9137,9241,9325,9455,9635,9829,9959,10065,10187,10303,10385,10587,10785,11017,11151,11335,11475,11615,11721,11803,11933,12097,12249,12355,12439,12601,12753,12879,12991,13111,13207,13319,13445,13565,13649,14087,14267,14399,14541,14649,14733,15583,15769,15909,16043,16155,16239,16365,16515,16635,16751,16869,16963,17071,17153,17285,17437,17569,17677,17759,17887,18037,18167,18279,18397,18499,18607,18739,18855,18935,19527,19695,19837,19977,20085,20169,20299,20453,20577,20691,20775,20905,21101,21309,21479,21637,21767,21893,22001,22093,22231,22441
1631,2021,2243,2409,2579,2677,2749,2909,3059,3185,3289,3393,3487,3635,3745,3835,3897,4049,4193,4363,4497,4637,4743,4837,4909,5061,5217,5343,5447,5557,5647,5793,5901,5991,6061,6211,6359,6481,6581,6689,6783,6935,7045,7141,7211,7433,7581,7703,7809,7919,8013,8159,8267,8365,8431,8589,8753,8881,8989,9101,9191,9311,9377,9531,9685,9877,10013,10161,10273,10371,10441,10663,10837,11061,11203,11389,11527,11687,11789,11859,12013,12169,12323,12423,12493,12679,12827,12953,13059,13173,13269,13417,13533,13635,13703,14139,14319,14455,14615,14719,14791,15627,15821,15957,16119,16221,16293,16443,16591,16709,16819,16927,17019,17139,17209,17365,17515,17645,17747,17817,17963,18111,18237,18347,18459,18561,18711,18827,18923,18991,19561,19747,19885,20053,20153,20221,20373,20527,20653,20759,20827,20983,21149,21357,21519,21687,21813,21969,22073,22141,22303,22485
