h,e,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,b,k,h,f,f,c,g,j,d,d,c,b
695,1075,1229,1483,1685,1849,1993,2099,2179,2329,2481,2633,2747,2863,2957,3065,3183,3297,3381,3649,3805,3927,4027,4151,4271,4353,4485,4643,4777,4891,5003,5099,5203,5327,5441,5523,5661,5835,6005,6125,6229,6351,6463,6547,6695,6845,6973,7081,7199,7295,7401,7525,7641,7723,7919,8075,8199,8313,8397,8529,8731,8931,9105,9245,9353,9467,9565,9675,9801,9919,10001,10175,10331,10461,10571,10691,10789,10895,11027,11143,11229,11375,11675,11843,12035,12133,12219,12351,12503,12633,12745,12829,12961,13171,13335,13457,13569,13693,13791,13899,14027,14147,14229
723,1105,1265,1515,1721,1891,2063,2165,2235,2403,2553,2701,2811,2921,3011,3161,3269,3359,3427,3697,3853,3985,4127,4239,4335,4405,4557,4717,4851,4953,5065,5155,5305,5411,5505,5573,5737,5883,6053,6175,6325,6435,6525,6599,6769,6919,7045,7151,7259,7351,7503,7613,7705,7771,7993,8147,8277,8381,8451,8605,8779,9027,9153,9321,9423,9527,9621,9777,9893,9985,10051,10249,10407,10539,10643,10749,10845,10995,11115,11211,11277,11447,11725,11895,12077,12201,12275,12431,12583,12707,12813,12877,13043,13219,13415,13539,13641,13747,13847,14005,14117,14211,14275
