e,h,e,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,c,b,k,f,f,c,b,k,f,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1645,1823,1969,2173,2387,2559,2709,2809,2889,3021,3167,3283,3393,3477,3601,3747,3865,3973,4083,4175,4281,4401,4513,4595,4723,4915,5083,5199,5297,5415,5523,5605,5739,5897,6019,6139,6245,6359,6453,6561,6681,6799,6881,7143,7323,7445,7553,7673,7791,7869,8015,8231,8431,8593,8745,8877,8983,9097,9193,9301,9431,9547,9627,9801,10001,10243,10417,10549,10659,10741,10875,11025,11161,11271,11367,11509,11661,12651,12823,12987,13119,13249,13355,13439,13565,13731,13851,13961,14079,14173,14279,14403,14519,14599
1735,1867,2039,2219,2431,2607,2781,2877,2945,3097,3239,3355,3459,3527,3671,3815,3937,4039,4141,4235,4377,4487,4581,4643,4795,4961,5127,5249,5395,5499,5593,5659,5815,5973,6097,6215,6313,6419,6519,6663,6771,6863,6927,7181,7367,7511,7655,7765,7861,7927,8089,8279,8535,8663,8821,8953,9061,9159,9253,9405,9517,9609,9681,9873,10055,10297,10469,10617,10727,10797,10949,11099,11237,11339,11413,11591,11741,12697,12879,13047,13175,13323,13423,13491,13643,13807,13929,14033,14139,14235,14379,14489,14585,14657
