e,h,e,e,h,h,h,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,k,e,e,e,k,h,h,e,c,b,k,h,h,e,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,h,e,d,k,h,h,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b
1965,2131,2297,2551,2783,2999,3157,3295,3415,3495,3619,3821,4003,4151,4303,4425,4527,4639,4733,4839,4915,5039,5199,5321,5431,5545,5639,5745,5827,5943,6099,6223,6331,6445,6539,6645,6763,6871,6949,7093,7299,7435,7557,7665,7785,7877,7983,8063,8197,8407,8573,8697,8797,8915,9025,9103,9245,9437,9645,9791,9971,10157,10349,10519,10689,10793,10873,10993,11169,11359,11539,11715,11875,11997,12113,12225,12339,12435,12541,12621,12753,13011,13179,13301,13401,13523,13633,13711,14191,14363,14489,14623,14731,14813,14943,15103,15221,15329,15413,15671,15885,16031,16223,16419,16585,16719,16819,16941,17057,17139,17263,17413,17539,17657,17739,18005,18173,18297,18397,18517,18631,18711,18839,19005,19125,19235,19319
2023,2165,2323,2641,2823,3033,3197,3361,3477,3543,3691,3863,4055,4225,4373,4493,4589,4695,4785,4901,4969,5111,5271,5393,5499,5601,5693,5813,5877,6017,6167,6297,6397,6507,6595,6741,6841,6941,7009,7167,7347,7509,7629,7735,7845,7933,8051,8115,8271,8461,8627,8755,8891,8997,9095,9159,9325,9517,9699,9833,10079,10231,10401,10575,10743,10865,10927,11079,11219,11411,11655,11793,11949,12073,12187,12293,12403,12493,12611,12679,12831,13059,13233,13357,13501,13607,13699,13765,14241,14419,14543,14695,14795,14865,15019,15177,15299,15399,15469,15705,15943,16069,16295,16465,16635,16765,16915,17027,17123,17193,17337,17485,17615,17725,17791,18055,18223,18355,18495,18603,18693,18763,18917,19077,19195,19301,19367
