e,h,e,h,h,h,f,c,b,j,f,f,c,g,j,c,b,f,f,f,c,g,j,c,b,k,k,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h
1639,1845,1981,2153,2435,2617,2775,2875,2953,3111,3267,3393,3501,3613,3703,3809,3891,4017,4163,4287,4391,4507,4603,4711,4791,4923,5111,5287,5431,5557,5665,5747,5873,6035,6167,6289,6403,6501,6605,6683,6809,7005,7181,7329,7409,7535,7689,7811,7921,8035,8129,8231,8309,8445,8641,8845,9001,9163,9283,9395,9477,9611,9769,9895,10033,10143,10257,10351,10461,10587,10699,10781,10921,11187
1733,1875,2059,2195,2479,2661,2847,2941,3007,3189,3339,3467,3565,3671,3767,3879,3945,4091,4239,4363,4463,4565,4661,4779,4849,5007,5153,5341,5485,5635,5739,5807,5955,6115,6243,6359,6465,6563,6675,6745,6887,7063,7241,7399,7471,7619,7769,7893,7991,8097,8187,8299,8367,8521,8691,8949,9077,9241,9363,9471,9537,9691,9847,9975,10109,10215,10317,10415,10561,10671,10775,10843,11003,11233
