e,h,e,h,e,e,h,f,c,b,f,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,f,f,c,b,k,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,c,g,j,d,d,c,b
1825,1989,2133,2323,2487,2661,2829,2973,3073,3153,3305,3469,3593,3703,3811,3905,4015,4095,4259,4415,4541,4649,4737,4879,5035,5165,5277,5357,5499,5679,5857,5995,6125,6237,6319,6445,6653,6787,6887,7007,7125,7203,7351,7505,7629,7743,7861,7957,8065,8145,8297,8483,8597,8689,8799,8927,9043,9125
1897,2029,2201,2367,2549,2729,2887,3049,3143,3211,3385,3547,3669,3775,3873,3967,4083,4151,4339,4491,4621,4725,4791,4953,5109,5241,5349,5415,5581,5729,5911,6073,6203,6309,6373,6529,6709,6847,6987,7099,7195,7265,7429,7579,7707,7817,7927,8019,8139,8205,8379,8557,8659,8753,8905,9019,9119,9183
