h,f,c,b,k,f,f,c,b,k,f,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k
1995,2123,2229,2317,2443,2589,2711,2823,2909,3057,3217,3483,3633,3797,3895,3979,4105,4255,4393,4503,4623,4721,4827,4947,5065,5149,5295
2029,2193,2295,2361,2513,2659,2783,2889,2959,3133,3285,3531,3677,3837,3961,4031,4183,4329,4465,4573,4685,4775,4925,5033,5127,5199,5371
