e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,k,e,k,j,f,c,b
749,889,1355,1521,1703,1865,1995,2099,2175,2343,2495,2641,2751,2863,2961,3069,3147,3289,3441,3557,3667,3791,3883,3989,4071,4213,4365,4501,4611,4693,4827,4983,5111,5219,5335,5433,5533,5657,5771,5855,5991,6147,6269,6385,6465,6615,6819,6995,7123,7223,7343,7461,7541,7679,7839,8009,8279,8429,8581,8707,8815,8899
775,1015,1391,1571,1753,1903,2061,2161,2231,2419,2567,2711,2821,2923,3017,3131,3197,3361,3511,3627,3733,3847,3939,4051,4123,4291,4437,4573,4683,4749,4899,5057,5181,5287,5397,5485,5633,5743,5835,5907,6065,6219,6337,6451,6519,6695,6869,7045,7179,7323,7431,7527,7591,7751,7911,8089,8371,8503,8655,8779,8885,8953
