e,e,e,h,e,h,e,e,h,f,e,k,f,f,c,g,j,d,d,c,b,k,h,h,e,h,f,c,g,j,c,b,h,h,h,f,f,c,g,j,d,d,e
1835,1987,2131,2311,2441,2637,2801,2991,3155,3305,3395,3653,3807,3929,4037,4149,4241,4347,4463,4577,4653,4799,5011,5197,5357,5513,5645,5747,5859,5953,6063,6132.4,6425,6587,6763,6899,7029,7137,7249,7345,7449,7567,8103
1861,2021,2209,2345,2515,2669,2865,3067,3207,3375,3541,3723,3879,4003,4107,4205,4305,4441,4547,4647,4705,4873,5063,5247,5415,5563,5717,5815,5917,6007,6131,6197.1,6473,6635,6813,6979,7103,7205,7307,7405,7549,7629,8185
