e,h,h,h,h,h,e,h,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c
1973,2353,2593,2783,3265,3421,3621,3773,3913,4013,4097,4237,4441,4623,4769,4891,4999,5117,5211,5317,5435,5549,5627,5795,6127,6323,6479,6611,6715,6801,6949,7101,7233,7343
2071,2403,2643,2835,3293,3461,3677,3825,3987,4087,4157,4315,4491,4681,4845,4967,5069,5175,5269,5419,5521,5617,5689,5873,6179,6385,6535,6687,6787,6859,7027,7175,7311,7409
