h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,h,k,d,d,c,b,k,h,e,e,k,f,f,c,g,j,d,d,c,b,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
859,1301,1493,1691,1851,1989,2091,2171,2363,2523,2657,2761,2875,2971,3075,3197,3309,3391,3555,3771,3925,4065,4177,4261,4397,4567,4699,4815,4925,5021,5127,5251,5363,5443,5589,5751,5877,5991,6109,6201,6309,6429,6547,6625,6829,7015,7149,7259,7383,7481,7591,7713,7833,7913,8229,8383,8515,8623,8707,8845,9003,9131,9245,9327,9461,9649,9807,9933,10035,10155,10273,10351,10651,10815,10945,11051,11175,11291,11373,11821,11975,12095,12199,12325,12443,12527,12653,12865,13049,13207,13363,13525,13645,13757,13881,13977,14087,14213,14329,14411,14879,15075,15241,15431,15571,15719,15831,15915,16045,16207,16335,16449,16569,16669,16777,16903,17021,17107,17255,17445,17625,17765,17873,17997,18117,18201
887,1329,1541,1721,1885,2059,2155,2229,2439,2593,2727,2827,2933,3031,3169,3283,3369,3439,3625,3819,3973,4139,4243,4315,4469,4641,4773,4877,4987,5083,5227,5335,5429,5497,5657,5825,5955,6057,6167,6263,6405,6517,6611,6679,6905,7089,7223,7329,7443,7543,7695,7801,7903,7971,8277,8431,8591,8699,8769,8925,9081,9207,9317,9389,9537,9699,9857,9989,10135,10243,10341,10411,10705,10865,11009,11153,11265,11363,11435,11863,12019,12149,12297,12415,12509,12583,12729,12915,13105,13301,13443,13605,13727,13831,13943,14041,14189,14303,14403,14467,14929,15125,15293,15493,15625,15799,15899,15971,16125,16287,16411,16517,16635,16733,16877,16995,17087,17157,17331,17495,17679,17829,17975,18087,18187,18263
