e,h,e,e,h,h,f,c,b,k,f,f,c,b,j,d,d,c,b,k,f,e,k,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,g,j,f,c,b,k,f,f,c,g,j,d,d,c,b
1329,1513,1661,1815,1989,2173,2321,2423,2505,2641,2799,2925,3035,3151,3243,3351,3469,3585,3665,3829,4027,4231,4407,4543,4643,4729,4859,5037,5231,5399,5549,5675,5783,5897,5991,6095,6217,6343,6421,6571,6779,6973,7135,7285,7407,7515,7633,7727,7835,7915,8077,8253,8415,8565,8713,8819,8901,9035,9197,9323,9433,9551,9647,9753,9877,9991,10075
1391,1549,1717,1875,2023,2215,2393,2483,2555,2715,2871,2997,3103,3209,3299,3445,3555,3651,3713,3899,4053,4311,4445,4613,4711,4773,4935,5083,5335,5477,5623,5747,5851,5957,6049,6199,6311,6405,6473,6645,6827,7085,7209,7359,7481,7585,7689,7785,7899,7967,8151,8301,8469,8613,8789,8889,8955,9115,9271,9401,9505,9611,9707,9851,9965,10057,10127
