e,h,h,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,e,h,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
499,1207,1805,1985,2183,2401,2563,2727,2859,2973,3055,3187,3353,3483,3589,3703,3797,3907,4029,4143,4223,4407,4583,4777,4927,5087,5219,5325,5441,5539,5651,5781,5897,5979,6585,6755,6873,7009,7115,7203,7329,7479,7603,7719,7835,7929,8041,8163,8283,8363,8491,8679,8861,8995,9099,9225,9339,9423
559,1239,1839,2029,2233,2429,2605,2769,2935,3041,3113,3267,3427,3555,3655,3759,3855,4007,4111,4209,4275,4467,4629,4821,4981,5133,5295,5393,5497,5597,5749,5867,5959,6029,6617,6801,6921,7083,7183,7257,7409,7559,7683,7783,7893,7995,8141,8253,8351,8423,8569,8729,8911,9051,9201,9313,9409,9471
