e,e,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,e
1071,1833,1989,2147,2517,2671,2809,2913,2993,3117,3279,3395,3511,3621,3715,3815,3933,4045,4123,4391,4547,4675,4795,4903,4985,5111,5301,5437,5541,5625,5747,5897,6017,6121,6233,6331,6433,6553,6665,6747,6887,7047,7175,7289,7373,7499,7663,7787,7897,8009,8103,8209,8327,8441,8519,8659,8837,9031,9201,9369,9497,9605,9687,9819,9967,10095,10201,10283,10459,10613,10737,10847,10963,11059,11163,11285,11395,11477,11715,11861,12005,12113,12197,12321,12503,12643,12755,12871,12965,13071,13197,13311,13393,13645,13811,13927,14031,14149,14263,14343,15067,15235
1161,1875,2025,2203,2547,2709,2877,2975,3045,3187,3347,3471,3577,3679,3777,3911,4021,4111,4179,4437,4597,4751,4871,4975,5043,5185,5347,5509,5609,5673,5821,5973,6091,6185,6293,6393,6527,6641,6729,6799,6963,7123,7249,7355,7421,7575,7739,7863,7967,8067,8161,8309,8409,8503,8575,8733,8889,9081,9253,9423,9575,9673,9741,9895,10043,10169,10271,10343,10537,10691,10815,10917,11019,11111,11263,11367,11463,11533,11771,11915,12083,12179,12253,12397,12543,12723,12829,12935,13031,13177,13285,13381,13449,13689,13859,13987,14129,14239,14333,14403,15101,15285
