h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,f,c,g,j,d,d,c,b,k
1461,1641,1839,1981,2111,2209,2289,2421,2573,2693,2795,2901,2993,3093,3169,3291,3445,3561,3665,3775,3867,3969,4085,4193,4271,4403,4583,4765,4921,5069,5185,5287,5399,5493,5593,5669,5797,5991,6167,6273,6367,6483,6593,6669,6821,6979,7099,7205,7285,7405,7553,7679,7785,7865,8001,8183,8329,8433,8545,8635,8739,8859,8971,9051,9185
1489,1669,1885,2019,2177,2273,2337,2489,2641,2761,2857,2957,3045,3155,3219,3361,3517,3629,3725,3827,3919,4061,4165,4255,4321,4471,4623,4853,4989,5139,5255,5353,5457,5545,5651,5719,5865,6029,6195,6323,6457,6563,6655,6717,6891,7047,7167,7273,7337,7479,7623,7749,7851,7915,8075,8229,8401,8499,8597,8693,8837,8941,9037,9103,9259
