d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,h,e,c,b,k,f,f,c,b,k,f,f,c,b,h,h,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f
7,137,261,345,1807,1983,2177,2315,2445,2559,2645,2775,2939,3065,3175,3293,3393,3501,3585,4055,4233,4349,4437,4579,4739,4877,4987,5071,5211,5377,5513,5625,5711,6683,6849,7113,7201,7345,7499,7629,7739,7831,8013,8213,8379,8497,8605,8733,8855,8939,9069,9225,9369,9491,9575,9725,9887
105,227,331,401,1855,2029,2231,2367,2521,2631,2699,2853,3015,3139,3245,3357,3451,3567,3641,4107,4287,4417,4491,4661,4815,4951,5057,5121,5291,5455,5589,5699,5771,6711,6893,7181,7247,7423,7571,7705,7811,7885,8091,8263,8427,8555,8703,8823,8921,8983,9149,9301,9443,9561,9629,9803,9961
