e,h,e,h,e,h,e,e,h,f,c,b,k,h,h,f,c,g,j,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,b
535,715,841,1005,1143,1333,1511,1691,1853,1993,2093,2175,2393,2713,2881,3023,3129,3245,3341,3449,3527,4407,4589,4759,4909,5011,5093,5249,5399,5521,5629,5767,5861,5967,6087,6201,6281,6599,6781,6939,7087,7209,7321,7443,7539,7645,7727,7859,8011,8143,8271,8351,8485,8667,8781,8875,8979,9099,9215,9295,9449,9639,9817,9989,10095,10179,10309,10461,10593,10705,10791
617,751,905,1041,1215,1371,1569,1753,1899,2063,2163,2233,2471,2761,2933,3097,3199,3305,3401,3519,3575,4453,4651,4813,4983,5083,5151,5327,5475,5597,5701,5827,5919,6069,6175,6271,6343,6653,6885,7019,7167,7287,7395,7505,7595,7713,7779,7939,8085,8217,8339,8405,8567,8739,8841,8935,9077,9187,9287,9351,9523,9687,9875,10039,10167,10237,10391,10539,10671,10773,10849
