e,e,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1293,1891,2667,2813,2963,3107,3213,3293,3433,3581,3703,3813,3903,4055,4213,4343,4455,4569,4665,4775,4897,5013,5095,5229,5387,5511,5633,5715,5865,6023,6143,6251,6369,6467,6575,6701,6821,6905,7089,7243,7369,7481,7599,7697,7805,8037,8203,8357,8491,8609,8693,8819,8967,9095,9211,9331,9427,9535,9659,9777,9857
1335,1929,2695,2867,2999,3175,3273,3339,3505,3653,3779,3879,3949,4133,4287,4419,4529,4629,4719,4877,4983,5077,5141,5301,5463,5589,5701,5775,5939,6097,6217,6321,6427,6519,6675,6791,6881,6953,7157,7315,7443,7553,7655,7751,7881,8147,8279,8435,8563,8675,8743,8893,9041,9169,9279,9389,9481,9635,9745,9839,9909
