h,h,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,d,c,b,h,e,k,h,h,j,c,b,k,f,f,c,g,j,d,d,c,b
159,321,457,563,681,801,883,1987,2205,2385,2531,2651,2761,2875,2971,3075,3199,3321,3435,3519,3937,4121,4295,4471,4633,4753,4855,4935,5063,5223,5343,5451,5563,5659,5769,5883,6005,6085
207,371,519,665,771,867,937,2027,2295,2457,2605,2721,2831,2937,3029,3173,3295,3411,3503,3569,3979,4231,4367,4519,4685,4809,4919,4991,5139,5297,5419,5519,5623,5715,5863,5973,6071,6139
