e,h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j
1555,1829,1973,2175,2347,2513,2677,2823,2923,3009,3151,3305,3425,3531,3647,3743,3853,3975,4089,4169,4317,4507,4687,4839,4971,5099,5213,5325,5421,5525,5645,5761,5845,5983,6141,6275,6387,6469,6601,6799,6991,7169,7331,7453,7565,7681,7779,7883,7963,8089,8249,8373,8487,8603,8701,8815,9081,9257,9449,9567,9649,9775,9941,10067,10177,10297,10391,10499,10623,10743,10821,10989,11187,11431,11561,11663,11785,11903,11989,12171,12371,12663,12815,12941,13047,13171,13289,13369,13513,13673,13801,13913,13997,14153,14313,14437,14551,14669,14765
1679,1857,2025,2239,2395,2569,2725,2893,2993,3061,3225,3377,3499,3603,3709,3803,3949,4055,4157,4229,4397,4557,4739,4895,5047,5177,5285,5387,5479,5617,5731,5827,5901,6059,6217,6343,6455,6519,6677,6855,7109,7249,7407,7531,7633,7745,7839,7949,8019,8169,8323,8449,8561,8667,8765,8875,9131,9311,9511,9639,9707,9863,10019,10145,10249,10359,10453,10595,10711,10813,10883,11069,11241,11483,11623,11765,11877,11969,12041,12249,12423,12717,12869,13003,13147,13259,13355,13425,13589,13747,13877,13989,14059,14235,14387,14515,14627,14733,14827
