e,e,e,h,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,k,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k
679,1091,1741,1865,1995,2103,2181,2315,2461,2581,2693,2805,2899,3005,3085,3219,3371,3495,3605,3721,3817,3921,4045,4159,4241,4451,4641,4795,4955,5079,5189,5309,5401,5507,5585,5713,5879,6001,6113,6197,6333,6515,6695,6871,7023,7149,7261,7375,7469,7575,7693,7811,7893,8019,8201,8397,8569,8721,8845,8955,9071,9165,9273,9397,9511,9591,9751,9943,10129,10301,10455,10583,10707,10813,10897,11033,11245,11409,11535,11637,11757,11873,11953,12109
725,1203,1781,1893,2061,2159,2231,2385,2533,2655,2763,2867,2961,3075,3145,3295,3447,3571,3673,3781,3875,4021,4135,4225,4293,4505,4735,4875,5031,5155,5263,5369,5463,5575,5639,5791,5955,6075,6185,6255,6413,6565,6819,6947,7101,7223,7333,7437,7529,7677,7785,7883,7945,8095,8249,8501,8645,8799,8921,9027,9135,9229,9381,9489,9581,9645,9827,9991,10237,10377,10529,10659,10785,10885,10953,11111,11293,11467,11593,11739,11849,11943,12007,12185
