j,d,d,c,b,k,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k
55,161,283,399,479,613,1987,2535,2705,2843,2975,3081,3165,3289,3435,3557,3669,3787,3879,3989,4107,4227,4307,4459
119,263,369,471,535,693,2075,2587,2769,2897,3053,3153,3223,3367,3515,3635,3743,3847,3945,4087,4195,4293,4365,4541
