h,e,e,h,h,f,c,b,k,f,f,c,b,k,h,h,h,e,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,k,k,e,f,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,k,j,d,d,c,b
1159,1313,1479,1801,1991,2141,2245,2327,2471,2625,2743,2853,2933,3065,3267,3437,3589,3779,3943,4091,4225,4329,4415,4545,4731,4889,5069,5163,5247,5379,5551,5667,5785,5903,5999,6103,6187,6317,6481,6699,6845,6957,7075,7191,7273,7409,7575,7695,7809,7927,8021,8127,8249,8363,8443,8577,8807,8973,9093,9191,9317,9435,9513
1185,1355,1523,1835,2023,2213,2305,2377,2543,2703,2817,2917,2985,3139,3311,3485,3637,3885,4015,4165,4297,4395,4465,4615,4775,4933,5107,5227,5287,5449,5625,5745,5849,5961,6051,6167,6231,6391,6531,6783,6871,7051,7161,7253,7323,7485,7649,7769,7873,7987,8075,8225,8335,8427,8495,8649,8849,9027,9145,9295,9403,9499,9565
