e,e,h,e,h,h,e,h,f,c,b,j,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1943,2447,2673,2813,3487,3663,3939,4137,4275,4375,4457,4625,4781,4903,5011,5125,5221,5329,5409,5563,5735,5867,5981,6093,6189,6297,6419,6535,6615,6751,6969,7135,7263,7367,7489,7607,7687
2051,2547,2719,2883,3537,3719,4041,4191,4351,4447,4521,4699,4857,4977,5087,5187,5285,5403,5471,5649,5813,5945,6057,6157,6253,6395,6509,6611,6679,6831,7021,7193,7327,7461,7575,7677,7747
