e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,h,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1821,1983,2123,2241,2323,2453,2607,2733,2841,2953,3047,3151,3271,3385,3465,3593,3751,3887,3997,4079,4225,4385,4525,4631,4715,4847,5043,5217,5357,5463,5577,5675,5785,5865,6011,6175,6303,6415,6535,6631,6741,6863,6979,7061,7241,7423,7623,7781,7933,8065,8177,8261,8427,8723,8895,9051,9185,9289,9411,9527,9609,10259,10431,10555,10685,10791,10875,11017,11171,11315,11429,11511,11653,11815,11947,12057,12173,12271,12375,12503,12621,12705,12843,13061,13235,13383,13485,13609,13727,13811,14335,14519,14741,14949,15881,16049,16199,16333,16447,16529,16667,16825,16949,17063,17151,17289,17457,17587,17695,17827,17923,18031,18161,18277,18361,19041,19233,19407,19563,19671,19757,19895,20053,20187,20299,20417,20515,20625,20711,20895,21049,21181,21291,21421,21517,21627,21755,21871,21955
1875,2029,2197,2303,2375,2527,2679,2805,2907,3009,3105,3247,3355,3455,3523,3673,3825,3961,4061,4133,4301,4459,4599,4703,4767,4927,5093,5271,5433,5533,5639,5735,5853,5925,6091,6249,6377,6485,6597,6695,6839,6955,7047,7117,7323,7473,7727,7861,8009,8143,8249,8317,8507,8779,8951,9107,9243,9393,9497,9599,9669,10311,10483,10605,10761,10859,10919,11095,11249,11389,11497,11567,11731,11893,12025,12129,12235,12331,12479,12589,12689,12765,12923,13117,13289,13443,13587,13699,13795,13867,14385,14621,14789,14999,15927,16103,16243,16411,16519,16589,16747,16901,17025,17137,17207,17369,17531,17665,17767,17889,17983,18133,18249,18347,18419,19093,19295,19461,19639,19739,19813,19971,20129,20263,20369,20481,20581,20697,20767,20973,21125,21257,21361,21481,21573,21729,21843,21945,22007
