e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,f
1669,1829,1961,2149,2311,2499,2661,2805,2909,2989,3149,3307,3433,3551,3661,3753,3855,3931,4069,4257,4435,4591,4767,4891,4971,5099,5259,5391,5505,5621,5717,5825,5947,6057,6135,6551,6723,6833,6913,7039,7189,7315,7427,7507,7649,7839,8023,8141,8243,8363,8475,8559,8701,8865,8993,9117,9227,9341,9435,9543,9623,9771,9939
1719,1867,2033,2195,2379,2571,2717,2879,2981,3049,3229,3381,3509,3623,3725,3815,3925,3993,4149,4311,4491,4645,4825,4959,5033,5181,5337,5463,5581,5687,5779,5925,6029,6123,6187,6603,6773,6901,6971,7123,7265,7395,7501,7567,7731,7893,8081,8207,8345,8453,8549,8617,8781,8945,9071,9193,9299,9405,9499,9613,9683,9849,10019
