c,g,j,d,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,f,f,c,b
7,125,219,327,453,583,699,779,1545,1733,1951,2103,2225,2335,2417,2547,2699,2823,2933,3049,3147,3253,3381,3497,3579,3943,4139,4237,4319,4449,4613,4759,4869,4953,5111,5299,5481,5609,5713,5843,5957,6037,6537,6723,6839,6921,7051,7201,7331,7443,7525,7657,7823,7963,8073,8157
79,189,285,429,557,669,767,837,1589,1857,2029,2177,2303,2407,2471,2627,2775,2899,2999,3111,3209,3357,3467,3567,3637,3993,4187,4307,4379,4529,4689,4839,4939,5011,5191,5355,5535,5669,5813,5933,6023,6095,6587,6777,6907,6979,7131,7279,7407,7515,7575,7739,7901,8041,8145,8215
