h,e,e,h,f,c,b,k,h,h,h,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1417,1571,1719,1855,1993,2091,2171,2295,2475,2647,2781,2911,3025,3129,3211,3327,3477,3593,3699,3811,3905,4009,4085,4211,4363,4479,4583,4703,4795,4899,5117,5287,5405,5505,5623,5733,5813,5967,6145,6347,6513,6659,6775,6881,6961,7097,7279,7457,7567,7665,7783,7901,7983,8131,8317,8493,8579,8661,8783,8935,9065,9173,9253,9395,9577,9753,9923,10043,10141,10257,10371,10451,10761,10919,11049,11153,11235,11739,11911,12041,12173,12287,12371,12491,12647,12769,12877,12995,13089,13195,13313,13427,13507
1449,1607,1767,1897,2061,2153,2219,2361,2515,2679,2823,2983,3097,3191,3255,3399,3549,3663,3765,3871,3959,4067,4135,4285,4433,4551,4651,4759,4851,4979,5163,5323,5463,5603,5711,5793,5861,6037,6189,6455,6585,6731,6847,6949,7013,7169,7325,7509,7619,7763,7881,7965,8031,8207,8361,8529,8643,8711,8857,9009,9139,9237,9301,9467,9625,9799,9973,10097,10245,10343,10433,10503,10809,10969,11125,11223,11283,11783,11953,12091,12249,12349,12421,12563,12719,12845,12947,13051,13145,13299,13401,13491,13559
