e,h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,c,b,k,f,f,c,b,h,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,h,h,j,d,d,c,b
1311,1471,1603,1799,1987,2181,2411,2555,2661,2737,2873,3031,3155,3259,3371,3465,3569,3643,3789,3951,4071,4181,4297,4391,4495,4611,4725,4805,4967,5125,5249,5381,5487,5571,5729,5923,6109,6291,6453,6573,6683,6799,6893,6999,7119,7237,7315,7575,7741,7859,7965,8087,8197,8279,8413,8575,8733,8843,8923,9079,9329,9513,9613,9695,9827,9981,10105,10219,10301,10727,10867,10989,11101,11213,11309,11415,11533,11651,11731,12297,12491,12639,12771,12879,12961,13093,13293,13491,13621,13723,13845,13959,14039
1369,1505,1667,1857,2027,2295,2455,2625,2723,2791,2947,3105,3225,3327,3427,3521,3631,3695,3863,4027,4147,4245,4357,4453,4589,4697,4787,4859,5045,5201,5321,5453,5555,5625,5803,5973,6229,6365,6529,6651,6751,6861,6953,7101,7211,7303,7371,7621,7793,7915,8065,8173,8265,8333,8487,8649,8807,8911,8981,9157,9379,9561,9681,9751,9905,10059,10185,10289,10361,10779,10947,11069,11175,11275,11371,11517,11619,11719,11787,12351,12545,12699,12853,12951,13017,13175,13343,13543,13677,13829,13929,14027,14093
