e,e,h,e,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,k,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,e,c,b,k,f
1453,1799,1995,2159,2361,2537,2827,2999,3143,3249,3331,3473,3625,3751,3859,3973,4069,4173,4255,4385,4589,4767,4891,4991,5111,5227,5609,5743,5921,6035,6117,6241,6385,6507,6613,6729,6825,6927,7007,7145,7315,7485,7625,7797,7885,7971,8093,8249,8369,8483,8597,8691,8795,8909,9029,9109,9239,9423,9655,9819,9947,10045,10165,10281,10365,10507,10691,10893,11077,11177,11261,11385,11529,11659,11769,11887,11975,12085,12209,12327,12409,13239,13397,13521,13619,13741,13857,13937,14065,14235,14409,14585,14683,14767,14889,15039
1513,1847,2021,2207,2417,2569,2853,3041,3211,3309,3377,3543,3699,3823,3925,4031,4119,4231,4303,4461,4637,4821,4945,5093,5199,5287,5645,5791,5969,6101,6167,6315,6455,6579,6687,6789,6879,6993,7057,7217,7357,7533,7675,7833,7947,8021,8169,8321,8447,8551,8655,8745,8889,8999,9093,9159,9315,9473,9705,9873,10001,10145,10257,10345,10413,10577,10737,10935,11119,11249,11315,11457,11605,11735,11839,11945,12039,12181,12297,12395,12459,13271,13443,13575,13717,13825,13911,13989,14137,14281,14459,14629,14755,14821,14967,15113
