h,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,f,f,c,b
1177,1315,1471,1653,1853,1991,2091,2169,2347,2505,2625,2729,2845,2935,3039,3153,3261,3339,3485,3641,3761,3867,3981,4075,4177,4291,4401,4475,4701,4899,5079,5235,5353,5457,5573,5665,5769,5893,6005,6085,6265,6445,6637,6793,6951,7073,7183,7267,7387,7561,7723,7853,7955,8069,8161,8265,8343,8469,8619,8739,8849,8965,9061,9165,9281,9399,9483,9639,9875,10163,10347,10473,10573,10687,10801,10881,11057,11215,11337,11447,11529,11679,11861,12055,12233,12389,12509,12619,12701,12829,12987,13133,13243,13361,13455,13561,13643,13961,14115,14243,14345,14465,14579,14661,14959,15153,15257,15341,15485,15647,15773,15881,15965,16095,16257,16387,16497,16581
1203,1359,1505,1693,1887,2053,2153,2219,2417,2571,2695,2793,2903,2991,3133,3235,3321,3383,3551,3709,3831,3931,4033,4133,4275,4373,4463,4527,4751,5003,5153,5307,5425,5525,5635,5723,5869,5979,6069,6139,6335,6493,6735,6867,7023,7145,7249,7319,7461,7607,7771,7925,8023,8129,8219,8331,8397,8547,8691,8813,8919,9027,9119,9265,9373,9469,9531,9705,9949,10213,10397,10525,10673,10777,10871,10933,11131,11289,11413,11513,11583,11753,11913,12143,12311,12465,12583,12683,12751,12907,13063,13205,13313,13423,13513,13635,13703,14013,14165,14299,14449,14557,14643,14711,15005,15191,15325,15395,15561,15723,15845,15951,16021,16171,16335,16461,16565,16637
