e,e,e,h,e,h,h,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
787,1653,1831,1989,2149,2395,2585,2781,2985,3195,3351,3475,3585,3671,3817,3973,4097,4209,4327,4425,4533,4655,4767,4845,5035,5211,5349,5463,5571,5689,5771,5899,6053,6177,6291,6377,6507,6697,6883,6999,7083,7209,7359,7479,7591,7673,7805,7991,8107,8199,8307,8435,8551,8635,8775,8967,9159,9275,9359,9485,9635,9763,9877,9959,10095,10287,10469,10587,10689,10813,10931,11011
871,1713,1891,2029,2213,2437,2627,2831,3117,3271,3421,3551,3655,3721,3891,4051,4175,4279,4391,4489,4639,4743,4831,4903,5081,5259,5403,5553,5659,5759,5823,5975,6131,6255,6363,6433,6583,6745,6935,7065,7139,7285,7433,7557,7663,7731,7885,8067,8169,8265,8411,8527,8617,8687,8851,9013,9207,9341,9409,9561,9713,9843,9947,10015,10179,10337,10525,10651,10797,10903,11003,11073
