e,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,h,j,d,d,c,b,e,e,e,e
7,535,1057,1239,1985,2183,2575,2713,2817,2899,3029,3181,3299,3411,3527,3617,3719,3795,3921,4083,4203,4307,4415,4509,4617,4739,4851,4935,5099,5295,5489,5663,5815,5941,6049,6161,6255,6363,6483,6595,6675,7185,7365,7479,7615,7715,7837,7949,8025,9153,10765,10987,11931
33,569,1089,1277,2031,2239,2623,2787,2883,2951,3105,3257,3377,3479,3581,3671,3783,3849,3995,4159,4275,4377,4477,4573,4713,4825,4917,4985,5169,5321,5605,5737,5885,6015,6117,6219,6315,6463,6573,6661,6733,7231,7409,7529,7667,7815,7925,8013,8083,9283,10883,11095,11961
