h,e,e,h,e,h,h,h,f,c,b,k,h,e,e,h,f,c,b,k,h,j,d,d,c,b,h,e,e,h,f,c,b,j,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,k,e,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b
915,1063,1305,1501,1649,1985,2159,2389,2529,2629,2709,2873,3209,3381,3559,3721,3857,3953,4039,4263,4457,4597,4699,4819,4935,5019,5571,5737,5889,6027,6167,6273,6361,6489,6647,6765,6871,6987,7081,7187,7313,7425,7507,7645,7825,7999,8131,8235,8351,8467,8549,8677,8831,8955,9065,9181,9277,9383,9463,9595,9755,9889,9997,10115,10211,10315,10395,10533,10743,10949,11103,11263,11395,11503,11589,11721,12049,12203,12327,12429,12549,12665,12749,13149,13317,13461,13593,13695,13783,13943,14095,14223,14331,14415
941,1111,1375,1531,1705,2019,2203,2415,2595,2697,2767,2945,3255,3437,3621,3769,3927,4027,4093,4343,4507,4651,4801,4911,5003,5073,5601,5785,5945,6079,6241,6343,6409,6559,6719,6839,6943,7047,7139,7291,7393,7489,7555,7719,7869,8047,8185,8335,8439,8533,8601,8751,8903,9033,9133,9243,9335,9447,9511,9673,9831,9965,10065,10177,10267,10379,10447,10611,10781,11053,11181,11337,11471,11573,11637,11799,12097,12253,12385,12533,12637,12735,12805,13191,13377,13515,13671,13767,13837,14019,14171,14299,14399,14467
