h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,h,h,e,c,b,k,f,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1331,1805,1993,2167,2389,2529,2629,2711,2873,3037,3167,3275,3395,3491,3601,3681,3815,3977,4097,4215,4327,4425,4531,4615,4787,5013,5277,5419,5551,5663,5749,5885,6037,6171,6295,6407,6505,6611,6733,6849,6931,7249,7407,7533,7635,7753,7871,7955,8089,8257,8389,8505,8589,8721,8927,9097,9221,9323,9443,9977,10131,10299,10407,10491,10621,10775,10895,11025,11137,11223,11353,11509,11631,11741,11859,11957,12063,12187,12305,12385
1359,1833,2029,2211,2425,2593,2695,2767,2949,3109,3239,3345,3451,3547,3667,3737,3891,4049,4173,4277,4383,4479,4593,4665,4861,5059,5311,5463,5629,5733,5803,5959,6115,6245,6365,6467,6563,6713,6821,6915,6983,7293,7453,7585,7733,7849,7937,8011,8165,8333,8463,8577,8643,8799,8977,9147,9279,9425,9517,10009,10177,10343,10475,10545,10699,10853,10975,11101,11209,11277,11433,11585,11709,11809,11917,12013,12165,12277,12371,12441
