e,h,e,e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b
11,207,359,555,759,1849,1991,2153,2353,2497,2635,2737,2819,2943,3105,3229,3337,3449,3543,3649,3763,3875,3955,4101,4287,4461,4601,4705,4821,4915,5019,5143,5253,5335,5483,5645,5765,5877,5955,6085,6315,6469,6633,6757,6859,6983,7093,7173,7303,7479,7663,7851,7959,8041,8163,8315,8437,8559,8673,8767,8873,8989,9103,9187,9313,9505,9629,9739,9817,9953,10143,10337,10461,10563,10683,10799,10879,11019,11183,11323,11431,11513,11643,11799,11933,12049,12163,12257,12367,12447
63,241,409,613,799,1897,2031,2215,2409,2549,2707,2805,2877,3021,3177,3305,3403,3509,3603,3743,3845,3943,4011,4177,4337,4515,4679,4781,4881,4979,5119,5229,5317,5389,5561,5715,5837,5947,6009,6163,6367,6519,6685,6815,6959,7065,7161,7227,7379,7527,7719,7905,8033,8101,8249,8391,8513,8629,8737,8825,8973,9079,9173,9243,9397,9579,9703,9813,9875,10031,10195,10389,10525,10665,10769,10873,10937,11097,11259,11397,11505,11573,11727,11875,12011,12125,12227,12325,12435,12503
