e,h,e,h,f,c,b,k,f,f,c,b,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
1305,1559,1711,1865,1997,2101,2175,2327,2475,2591,2703,2813,2907,3007,3125,3235,3313,3459,3653,3835,3929,4009,4137,4285,4407,4517,4627,4723,4823,4935,5049,5127,5257,5409,5531,5639,5751,5847,5949,6069,6175,6253,6393,6541,6675,6789,6907,7001,7105,7181,7319,7473,7597,7703,7823,7919,8019,8135,8249,8329,8463,8673,8859,9015,9165,9287,9391,9507,9603,9705,9823,9939,10017,10307,10465,10595,10697,10815,10935,11011,11141,11293,11417,11525,11605,11743,11893,12027,12137,12251,12345,12451,12571,12689,12769,13213,13359,13501,13603,13687,13815,13967,14089,14197,14295,14673,14833,14953,15053,15175,15291,15375,15509,15663,15803,15915,16037,16129,16237,16365,16479,16561
1359,1587,1753,1893,2055,2155,2221,2393,2537,2653,2759,2861,2955,3101,3207,3295,3355,3527,3695,3863,3989,4055,4205,4353,4479,4583,4683,4769,4913,5017,5111,5173,5325,5475,5599,5705,5807,5897,6043,6151,6235,6305,6463,6607,6739,6855,6961,7047,7171,7235,7399,7547,7671,7767,7881,7973,8113,8221,8311,8377,8539,8719,8961,9089,9235,9361,9461,9565,9655,9801,9907,10005,10073,10357,10515,10653,10795,10899,10999,11065,11217,11365,11485,11591,11657,11817,11963,12099,12203,12307,12403,12551,12657,12757,12825,13247,13403,13569,13671,13735,13889,14039,14163,14263,14335,14721,14879,15009,15153,15261,15357,15425,15581,15731,15875,15985,16089,16185,16337,16451,16541,16609
