c,g,j,d,d,c,b,k,h,h,h,f,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,k,h,h,h,h,e
7,93,187,293,419,535,615,771,1783,1985,2173,2327,2437,2519,2645,2823,3031,3143,3227,3353,3513,3635,3749,3865,3957,4065,4195,4311,4389,4917,5093,5223,5329,5451,5565,5649,5781,5977,6177,6301,6383,6507,6665,6789,6901,6983,7117,7339,8043,8259,8499,8685,8905
47,155,253,395,509,607,675,847,1833,2035,2225,2407,2505,2579,2725,2873,3087,3219,3287,3441,3595,3717,3823,3927,4023,4169,4283,4381,4447,4967,5147,5283,5427,5545,5635,5705,5861,6025,6237,6373,6443,6589,6745,6869,6975,7045,7195,7421,8097,8313,8557,8741,9025
