f,f,c,g,j,d,d,c,b,e,f,e,e,e,j
7,99,205,315,411,515,633,749,827,1977,2715,3217,3983,4495,4641
47,181,277,377,477,615,723,821,887,2089,2761,3243,4029,4557,4683
