e,h,e,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f
1641,1825,1959,2127,2253,2413,2557,2661,2739,2879,3029,3153,3259,3341,3473,3655,3827,3945,4045,4167,4279,4359,4511,4693,4881,5065,5217,5337,5449,5533,5667,5819,5947,6059,6181,6277,6383,6463,6593,6773,6979,7099,7201,7329,7441,7519,7669,7827
1707,1865,2033,2161,2323,2461,2629,2727,2795,2955,3107,3227,3329,3399,3547,3703,3877,4005,4145,4253,4351,4417,4591,4741,4997,5143,5293,5415,5521,5589,5745,5895,6025,6131,6243,6337,6453,6519,6669,6825,7033,7157,7307,7411,7511,7575,7749,7901
