e,h,e,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,d,c,b,e
319,1573,1717,1983,2207,2659,2859,3005,3111,3191,3333,3483,3617,3725,3835,3929,4035,4151,4265,4375,4457,5149
357,1601,1775,2025,2247,2751,2907,3077,3175,3239,3401,3555,3689,3787,3889,3983,4129,4241,4349,4445,4513,5221
