e,h,e,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b
2249,2431,2593,2779,2977,3157,3293,3397,3473,3627,3783,3905,4011,4119,4211,4319,4437,4553,4631,4783,4983,5185,5365,5529,5663,5783,5891,6001,6093,6201,6321,6429,6509,6681,6843,6965,7073,7185,7281,7385,7463,7585,7741,7859,7963,8077,8169,8269,8349,8477,8631,8761,8871,8949,9083,9287,9457,9587,9687,9805,9915,9995,10127,10349,10477,10605,10717,10833,10925,11035,11161,11271,11351,11481,11633,11763,11871,11949,12081,12289,12465,12593,12697,12815,12925,13005,13171,13325,13451,13559,13641,13769,13979,14159,14333,14457,14537,14657,14813,14947,15057,15179,15273,15381,15499,15613,15697
2319,2471,2647,2835,3041,3203,3363,3463,3531,3703,3857,3977,4077,4179,4273,4417,4523,4619,4687,4857,5035,5237,5415,5581,5735,5855,5959,6063,6157,6291,6403,6497,6567,6757,6915,7041,7143,7245,7343,7451,7523,7665,7813,7929,8035,8139,8225,8339,8411,8557,8707,8837,8941,9007,9159,9343,9511,9649,9785,9889,9983,10055,10207,10401,10555,10683,10789,10897,10991,11135,11247,11343,11415,11561,11709,11837,11943,12007,12169,12341,12519,12657,12797,12903,12995,13061,13247,13401,13529,13633,13703,13853,14033,14215,14389,14531,14601,14739,14891,15023,15131,15241,15335,15479,15587,15681,15751
