e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,j,d,d,c,b,k,f,f,f,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,k,c,g,j,d,d,c,b,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b
711,1165,1299,1475,1631,1817,1987,2119,2223,2303,2435,2597,2719,2825,2941,3033,3139,3263,3379,3455,3629,3809,4111,4211,4337,4453,4529,4667,4825,4941,5067,5173,5255,5393,5639,5763,5899,6003,6113,6207,6311,6429,6549,6623,6759,6909,7095,7257,7367,7461,7567,7683,7799,7879,8741,8901,9037,9199,9335,9463,9569,9651,9775,9921,10043,10157,10273,10367,10469,10549,10687,10841,10961,11067,11183,11279,11385,11509,11623,11705,11845,12009,12139,12251,12333,12479,12679,12857,12983,13083,13207,13321,13403,13537,13709,13843,13961,14043
761,1193,1365,1503,1679,1863,2015,2181,2281,2349,2503,2665,2791,2893,2999,3091,3241,3349,3437,3507,3701,3849,4161,4311,4423,4515,4583,4743,4895,5015,5135,5241,5305,5463,5675,5801,5969,6065,6165,6255,6411,6519,6609,6679,6833,6983,7173,7323,7421,7519,7665,7771,7861,7927,8775,8959,9083,9253,9379,9537,9639,9705,9853,9995,10119,10225,10327,10419,10535,10601,10757,10911,11033,11135,11233,11333,11483,11595,11689,11761,11921,12081,12213,12313,12385,12549,12719,12899,13031,13181,13297,13383,13459,13613,13779,13917,14029,14093
