h,e,h,e,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b
2633,2773,2933,3097,3277,3459,3601,3703,3785,3911,4061,4179,4285,4367,4499,4677,4853,4983,5087,5203,5323,5401,5533,5715,5923,6081,6231,6355,6463,6577,6673,6775,6901,7015,7095,7247,7445,7653,7825,7959,8065,8185,8305,8385
2673,2843,2979,3157,3325,3509,3677,3771,3841,3989,4137,4253,4355,4415,4581,4729,4905,5043,5189,5287,5387,5453,5607,5761,6019,6157,6309,6429,6525,6637,6729,6877,6991,7081,7151,7327,7493,7707,7879,8017,8169,8279,8373,8441
