e,h,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,e,c,b,k,f,f,c,b,h,h,j,d,d,c,b
655,827,963,1125,1303,1533,1779,1985,2119,2223,2305,2459,2611,2733,2845,2957,3057,3163,3333,3545,3697,3819,3925,4043,4141,4245,4327,4461,4613,4735,4849,4937,5073,5227,5351,5463,5579,5675,5781,5901,6019,6101,6239,6423,6629,6751,6831,6959,7113,7235,7341,7427,7559,7751,7931,8047,8149,8271,8385,8467,8601,8761,8885,8997,9081,9277,9525,9637,9721,9847,10005,10129,10241,10323,11051,11209,11345,11449,11567,11683,11765
711,855,1021,1167,1351,1575,1807,2017,2189,2293,2359,2537,2685,2807,2911,3017,3113,3265,3421,3621,3769,3889,3997,4101,4197,4313,4381,4539,4687,4809,4921,4989,5151,5303,5429,5529,5639,5735,5879,5989,6085,6155,6319,6473,6663,6819,6881,7035,7187,7311,7407,7481,7635,7801,7981,8107,8245,8353,8451,8525,8679,8835,8961,9067,9135,9353,9575,9705,9777,9923,10081,10207,10309,10377,11089,11259,11401,11547,11655,11749,11815
