e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,j,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,f,h,e,h,f,c,b
1967,2179,2447,2615,2801,3059,3237,3369,3467,3553,3703,3861,3983,4097,4243,4339,4447,4527,4657,4825,4953,5067,5189,5283,5391,5511,5623,5701,5883,6077,6273,6419,6559,6665,6781,6879,6987,7109,7227,7311,7465,7635,7765,7879,7995,8095,8205,8327,8445,8523,8657,8813,8939,9049,9169,9267,9377,9501,9617,9701,9983,10145,10269,10383,10469,10593,10751,10887,11001,11117,11215,11323,11447,11561,11647,11841,12037,12231,12413,12551,13249,13431,13571,13715,13825,13911
2023,2213,2477,2653,2855,3153,3273,3435,3527,3603,3777,3933,4055,4167,4303,4395,4511,4579,4733,4895,5029,5133,5247,5341,5487,5591,5685,5755,5959,6125,6325,6471,6631,6733,6843,6941,7087,7197,7295,7365,7543,7707,7837,7943,8059,8155,8307,8415,8503,8573,8731,8883,9013,9119,9233,9329,9477,9591,9685,9755,10033,10219,10345,10453,10523,10671,10829,10959,11073,11179,11271,11425,11529,11623,11697,11919,12087,12287,12469,12625,13299,13483,13623,13791,13895,13965
